#,Sistema-Modulo,Projeto-Modulo,# Projeto Hierarquia,Projeto Hierarquia,Tipo,Situação,Título,Atribuído para,Catálogo_01 (Memora - 13/2020),HET (Real),qtd_servicos,Início,Tarefa pai,Qtd. de Anexos
86522,SCG - Sistema de Contabilidade Geral (Agente),SCG - Sistema de Contabilidade Geral (PRODUTO),86038,SCG - Sistema de Contabilidade Geral (PRODUTO),Atividade,Nova,Alteração da regra de retenção,Darckles Pereira de Almeida,,,,2023-07-25,86149,0
86481,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,,,Análise,Nova,Estudo do código para Implementação padronizada de Health Check,Renato Da Silva Cavalcanti,10-Estudo/AnálisedeSistemaLegado,,,2023-07-21,,0
86350,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,86038,SCG - Sistema de Contabilidade Geral (PRODUTO),Reunião,Resolvida,Reunião acerca do SCG,Minoru Garcia Gondo Lima,36-ParticipaçãoemReuniões,,,2023-07-20,86149,1
86314,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Análise,Nova,Análise exploratória referente a atividade de Correção 85933 ,Jose Humberto Froes Junior,21-Manutenções-AnáliseExploratóriadeProblemas,,1,2023-07-14,58361,0
86298,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,86038,SCG - Sistema de Contabilidade Geral (PRODUTO),Atividade,Nova,Alterar batch Sucessor órgão Natureza Fonte,Darckles Pereira de Almeida,,,,2023-07-20,86149,1
86289,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,86038,SCG - Sistema de Contabilidade Geral (PRODUTO),Correção,Nova,Desativação do relatório Demonstrativo Almoxarifado duplicado que está dando conflito com o relatório que realmente deve ser usado,Jose Humberto Froes Junior,21-Manutenções-AtributosFormulário/Relatório/Serviço,,1,2023-07-20,86149,0
86282,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,86038,SCG - Sistema de Contabilidade Geral (PRODUTO),Reunião,Validação,Verificação da funcionalidade Inserir Sucesso Órgão Natureza Fonte,Darckles Pereira de Almeida,,,,2023-07-20,86149,0
86281,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,86038,SCG - Sistema de Contabilidade Geral (PRODUTO),Atividade,Validação,Análise da Função  para reforma administrativa,Darckles Pereira de Almeida,,,,2023-07-20,86149,0
86280,SCG - Sistema de Contabilidade Geral (SCGI),*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Validação,Alteração no Site SCGI,Darckles Pereira de Almeida,,,,2023-07-20,58361,1
86210,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,86038,SCG - Sistema de Contabilidade Geral (PRODUTO),Atividade,Validação,Relatório - Anexo 02-SCG ano 2023,Darckles Pereira de Almeida,,,,2023-07-19,86149,0
86209,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,86038,SCG - Sistema de Contabilidade Geral (PRODUTO),Atividade,Validação,SQL -Correção - Anexo 02-SCG ano 2023,Darckles Pereira de Almeida,,,,2023-07-19,86149,0
86149,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",SCG - Sistema de Contabilidade Geral (PRODUTO),86038,SCG - Sistema de Contabilidade Geral (PRODUTO),Módulo,Nova,Manutenção Relatórios 2023,,,,,2023-07-18,86038,0
86145,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Homologação,Correção na Tela Componente de Encerramento,Darckles Pereira de Almeida,,,,2023-07-18,58361,3
86115,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,86038,SCG - Sistema de Contabilidade Geral (PRODUTO),Atividade,Fechada,Ajuste na tela Inclusão de relatórios fiscais ,Darckles Pereira de Almeida,,,,2023-07-18,86107,1
86110,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,86038,SCG - Sistema de Contabilidade Geral (PRODUTO),Atividade,Validação,Correção - Anexo 02-SCG ano 2023,Darckles Pereira de Almeida,,,,2023-07-18,86149,1
86107,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",SCG - Sistema de Contabilidade Geral (PRODUTO),86038,SCG - Sistema de Contabilidade Geral (PRODUTO),Módulo,Nova,Projetos Relatórios Fiscais ,,,,,2023-05-29,86038,0
86051,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Homologação,Correção do Checklist Automatizado Consolidado do ANEXO 17 (Dívida Flutuante) – Ano 2023,Carlos Augusto Costa Bastos,,,,2023-07-17,58361,4
86046,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",SCG-Integrações,86018,SCG-Integrações,Implementação,Homologação,Implementar Finalidades - SIGO (Sistema dos Bens Imóveis) - SCG-Agent,Carlos Augusto Costa Bastos,,,,2023-07-18,86020,2
86045,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Nova,Correção do Checklist Automatizado Consolidado do ANEXO 15 (DVP) – Ano 2023,Marco Antonio Silva Pegado,,,,2023-07-17,58361,6
86038,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",SCG - Sistema de Contabilidade Geral (PRODUTO),,,Gestão,Nova,Atividade de Gestão - Acompanhamento do Projeto,,,,,2023-05-29,,0
86035,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Validação,Melhorias na funcionalidade MONITOR RELATÓRIOS do SCG,Marco Antonio Silva Pegado,,,,2023-07-17,58361,0
86032,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Nova,Correção do Checklist Automatizado Consolidado do ANEXO 18 (DFC) – Ano 2023,Jose Humberto Froes Junior,21-Manutenções-AtributosFormulário/Relatório/Serviço,,1,2023-07-17,58361,6
86020,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",SCG-Integrações,85729,SCG-Integrações,Funcionalidade,Nova,Implementação de Finalidades,,,,,2023-07-18,86018,0
86018,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",SCG-Integrações,85729,SCG-Integrações,Módulo,Nova,Pacote 2 - Implementações,,,,,2023-07-18,85729,0
86011,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Homologação,Correção do Checklist Automatizado Consolidado do ANEXO 19 (DMPL) – Ano 2023,Jose Humberto Froes Junior,21-Manutenções-AtributosFormulário/Relatório/Serviço,,1,2023-07-17,58361,3
86009,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Nova,Alteração no relatório ANEXO 19 (DMPL) – ANO 2023 - Criar versão,Darckles Pereira de Almeida,,,,2023-07-17,58361,2
86008,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,,,Configuração,Resolvida,Montagem de Ambiente de Desenvolvimento do Sistema de Contabilidade Geral,Minoru Garcia Gondo Lima,26-Configuração/PreparaçãoAplicação,,1,2023-07-17,,1
85933,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Homologação,Correção do Checklist Automatizado Consolidado do ANEXO 14 (Balanço Patrimonial QD PRINCIPAL) – Ano 2023,Jose Humberto Froes Junior,21-Manutenções-AtributosFormulário/Relatório/Serviço,,1,2023-07-14,58361,1
85932,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Homologação,Correção do Checklist Automatizado Consolidado do ANEXO 13 (Balanço Financeiro) – Ano 2023,Carlos Augusto Costa Bastos,,,,2023-07-14,58361,3
85926,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Homologação,Correção - relatório CHECKLIST AUTOMATIZADO -  DEMONSTRATIVO SINTÉTICO DE RESTOS A PAGAR,Carlos Augusto Costa Bastos,,,,2023-07-14,58361,3
85923,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Nova,Correção do Checklist Automatizado Órgão – Ano 2023,,,,,2023-07-14,58361,5
85916,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Homologação,Correção do Checklist Automatizado Consolidado do Demonstrativo Sintético de Restos a Pagar – Ano 2023,Jose Humberto Froes Junior,21-Manutenções-AtributosFormulário/Relatório/Serviço,,1,2023-07-14,58361,7
85907,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Homologação,Correção da Retenção do Restos a Pagar Sintético,Darckles Pereira de Almeida,,,,2023-07-14,58361,1
85893,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Homologação,Correções pedidas durante a reunião com área de negócio realizada no dia 13/07/2023 [backend-correção],Darckles Pereira de Almeida,,,1,2023-07-14,58361,0
85881,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Validação,Correção - relatório CHECKLIST AUTOMATIZADO - CONSOLIDADO,Carlos Augusto Costa Bastos,,,,2023-07-14,58361,2
85824,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Validação,Relatório alteração - Checklist Automatizado Consolidado do ANEXO 10 – Ano 2023.,Carlos Augusto Costa Bastos,,,,2023-07-13,58361,2
85823,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Homologação,Correção - relatório CHECKLIST AUTOMATIZADO - ÓRGÃO,Carlos Augusto Costa Bastos,,,,2023-07-13,58361,10
85817,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Em andamento,Correções pedidas durante a reunião com área de negócio realizada no dia 13/07/2023,Jose Humberto Froes Junior,21-Manutenções-AtributosFormulário/Relatório/Serviço,,1,2023-07-13,58361,0
85812,SPC - Sistema de Prestação de Contas,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),66266,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),Implementação,Resolvida,Implementar - Dialog situação Inscrição em Lote,Minoru Garcia Gondo Lima,12-NovaFuncionalidade-InterfacedeUsuário,,1,2023-07-13,73566,3
85783,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,86038,SCG - Sistema de Contabilidade Geral (PRODUTO),Implementação,Fechada,Alteração tela Relatórios Demonstrativos Fiscais,Marco Antonio Silva Pegado,,,,2023-07-13,86107,2
85731,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",SCG-Integrações,85729,SCG-Integrações,Documentação,Em andamento,Documentação - Mapeamento de EAP,Junior Batista Menezes,,,,2023-07-11,85730,2
85730,SCG - Sistema de Contabilidade Geral (Serviços),SCG-Integrações,85729,SCG-Integrações,Módulo,Nova,Pacote 1 - Lavamento de Requisitos,,,,,2023-07-11,85729,0
85729,SCG - Sistema de Contabilidade Geral (Serviços),SCG-Integrações,,,Gestão,Nova,Atividade de Gestão - Acompanhamento do Projeto - Integração SIGO,,,,,2023-07-11,,0
85686,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Validação,Tela alteração - versionamento e inclusão de regra do relatório COMPARATIVO ENTRE SCG E SIOFINET - DESPESA FIXADA,Carlos Augusto Costa Bastos,,,,2023-07-12,58361,1
85684,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Validação,Relatório - versionamento e inclusão de regra do relatório COMPARATIVO ENTRE SCG E SIOFINET - DESPESA FIXADA,Carlos Augusto Costa Bastos,,,,2023-07-12,58361,7
85683,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Fechada,SQL - versionamento e inclusão de regra do relatório COMPARATIVO ENTRE SCG E SIOFINET - DESPESA FIXADA,Carlos Augusto Costa Bastos,,,,2023-07-12,58361,0
85565,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Resolvida,Erro no relatório artigo 30,Jose Humberto Froes Junior,21-Manutenções-AtributosFormulário/Relatório/Serviço,,1,2023-07-11,58361,1
85540,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",SCG - Sistema de Contabilidade Geral (PRODUTO),,,Reunião,Fechada,Reuniões acerca do SCG,Carlos Augusto Costa Bastos,,,,2023-07-10,,3
85533,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Validação,Erro na tela Teste de serviços Siofi,Marco Antonio Silva Pegado,,,,2023-07-10,58361,1
85498,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Validação,Erro na tela Parametrização - Relatório Geral,Marco Antonio Silva Pegado,,,,2023-07-10,58361,2
85489,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Homologação,Correção na tela Vincular Conta Contábil - Múltiplos Órgãos,Carlos Augusto Costa Bastos,,,,2023-07-10,58361,7
85474,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Validação,Erro na tela manter base plano de conta,Marco Antonio Silva Pegado,,,,2023-07-10,58361,3
85313,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",SCG-Integrações,11641,PROCESSOS E PROJETOS,Reunião,Fechada,Reunião - Alinhamento de projetos da GEDES Tesouro,Hellen Soares de Sousa,36-ParticipaçãoemReuniões,,,2023-07-07,11641,1
85312,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",SCG-Integrações,11641,PROCESSOS E PROJETOS,Análise,Validação,Gerenciamento de Projetos - 10/06/2023 a 09/07/2023 - Atualização dos Projetos e Interação do EPM,Hellen Soares de Sousa,11-GerenciamentodeProjetodeSoluçãodeTI,,2,2023-07-07,11641,5
85217,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Validação,Relatório - Correção relatório DIÁRIO CONTÁBIL – ANO 2023,Marco Antonio Silva Pegado,,,,2023-07-07,58361,0
85188,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",SCG-Integrações,,,Reunião,Fechada,Reunião - Alinhamento de projetos da GEDES Tesouro,Antonia Daiana Bento,36-ParticipaçãoemReuniões,,,2023-07-07,,1
85183,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Nova,Implementação padronizada de Health Check,Renato Da Silva Cavalcanti,17-NovoRecurso-Componente,,1,2023-07-07,58361,0
85174,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",SCG-Integrações,,,Reunião,Fechada,Reuniões Diárias Ciclo 10/06/2023 a 09/07/2023 [Daily - Junho 2023],Antonia Daiana Bento,36-ParticipaçãoemReuniões,,,2023-07-07,,4
85173,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",SCG-Integrações,,,Análise,Validação,"Gerenciamento de Projetos - 10/06/2023 a 09/07/2023 - Atualizações, Correções e Novos Desenvolvimentos de Relatórios do SCG",Antonia Daiana Bento,11-GerenciamentodeProjetodeSoluçãodeTI,,2,2023-07-07,,8
85168,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",SCG-Integrações,,,Análise,Validação,Gerenciamento de Projetos - 10/06/2023 a 09/07/2023 - Implantar Emissão dos Demonstrativos Fiscais,Antonia Daiana Bento,11-GerenciamentodeProjetodeSoluçãodeTI,,2,2023-07-07,,9
85122,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Validação,Correção relatório DIÁRIO CONTÁBIL – ANO 2023,Marco Antonio Silva Pegado,,,,2023-07-06,58361,2
85120,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Fechada,Ajuste no botão da tela contabilizar nota de lançamento,Jose Humberto Froes Junior,21-Manutenções-AtributosFormulário/Relatório/Serviço,,2,2023-07-06,58361,2
85109,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,,,Reunião,Homologação,Reuniões Diárias Ciclo 10/06/2023 a 09/07/2023 [Daily - Junho 2023],Jose Humberto Froes Junior,36-ParticipaçãoemReuniões,,,2023-07-06,,0
85082,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Reunião,Fechada,Verificação do Parâmetro 1379,Darckles Pereira de Almeida,,,,2023-07-06,58361,2
85074,SCG - Sistema de Contabilidade Geral (SCGF),*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Validação,Alteração da finalidade na consulta crédito da classe MovimentoContabilDAOJpa ,Darckles Pereira de Almeida,,,,2023-07-06,58361,0
85052,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Validação,Checklist Automatizado Consolidado do ANEXO 10 – Ano 2023.,Carlos Augusto Costa Bastos,,,,2023-07-05,58361,6
84945,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Validação,Melhorias na funcionalidade MONITOR RELATÓRIOS do SCG,Marco Antonio Silva Pegado,,,,2023-07-04,58361,1
84936,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Validação,Alteração da função 9600 (compara fonte de crédito e débito),Darckles Pereira de Almeida,,,,2023-07-04,58361,0
84928,SPC - Sistema de Prestação de Contas,SCG-Integrações,65233,SCG-Integrações,Implementação,Validação com Ressalvas,Alteração na regra de negócio Baixa por empenho no SPC-Service,Geison Leal Feitosa,,,,2023-07-03,75440,0
84901,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Validação,Acesso de usuário sem estar vinculado a nenhum órgão,Carlos Augusto Costa Bastos,,,,2023-07-03,58361,1
84878,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Fechada,SQL alteração - COMPARATIVO ENTRE SCG E SIOFINET - EXECUÇÃO DA DESPESA,Carlos Augusto Costa Bastos,,,,2023-07-03,58361,0
84877,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Validação,Tela alteração - COMPARATIVO ENTRE SCG E SIOFINET - EXECUÇÃO DA DESPESA,Carlos Augusto Costa Bastos,,,,2023-07-03,58361,1
84876,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Validação,Relatório alteração - COMPARATIVO ENTRE SCG E SIOFINET - EXECUÇÃO DA DESPESA,Carlos Augusto Costa Bastos,,,,2023-07-03,58361,2
84724,SPC - Sistema de Prestação de Contas,SCG-Integrações,65233,SCG-Integrações,Implementação,Fechada,Alteração na regra de negócio Baixa por empenho no SPC,Geison Leal Feitosa,,,,2023-06-30,75440,0
84718,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Validação,versionamento e inclusão de regra do relatório COMPARATIVO ENTRE SCG E SIOFINET - DESPESA FIXADA,Carlos Augusto Costa Bastos,,,,2023-06-29,58361,2
84688,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Fechada,Visualização das Retenções de Relatórios | Listagem no combobox,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,1,2023-06-29,58361,3
84684,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Resolvida,Tela Visualização de Relatórios Fiscais | Adicionar campos,Jose Humberto Froes Junior,21-Manutenções-AtributosFormulário/Relatório/Serviço,,1,2023-06-29,58361,2
84679,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,86038,SCG - Sistema de Contabilidade Geral (PRODUTO),Correção,Validação com Ressalvas,Tela Cadastro de Relatórios Fiscais | Campo link DOE,Jose Humberto Froes Junior,21-Manutenções-AtributosFormulário/Relatório/Serviço,,3,2023-06-29,86107,3
84677,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,86038,SCG - Sistema de Contabilidade Geral (PRODUTO),Correção,Validação com Ressalvas,Tela Cadastro de Nome de Relatórios Fiscais | Erro ao excluir,Jose Humberto Froes Junior,21-Manutenções-CorreçõesdeBugsemComponentes,,4,2023-06-29,86107,2
84627,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Fechada,Correção do rodapé dos relatórios,Jose Humberto Froes Junior,21-Manutenções-AtributosFormulário/Relatório/Serviço,,2,2023-06-28,58361,2
84626,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Reunião,Validação com Ressalvas,Suporte para resolução da função referente a parametrização do SCG,Darckles Pereira de Almeida,,,,2023-06-28,58361,0
84612,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Fechada,Correção - Relatório PF X Disponibilidade Comprometida – Ano 2023,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,1,2023-06-27,58361,2
84611,SFC - Sistema de Fluxo de Caixa,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),,,Correção,Validação,Correção Anulação Prestação Complementar ,Geison Leal Feitosa,,,,2023-06-27,,2
84600,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Validação,Correção de regra relatório - DEMONSTRATIVO SINTÉTICO DA MOVIMENTAÇÃO DO ATIVO IMOBILIZADO E INTANGÍVEL Ano 2023,Marco Antonio Silva Pegado,,,,2023-06-27,58361,2
84597,SPC - Sistema de Prestação de Contas,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),66266,*SPC - Sistema de Prestação de Contas (Manutenções Corretivas),Implementação,Fechada,Implementação padronizada de Health Check,Renato Da Silva Cavalcanti,17-NovoRecurso-Componente,,3,2023-06-27,73566,0
84594,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Implementação,Validação,Alteração - COMPARATIVO ENTRE SCG E SIOFINET - EXECUÇÃO DA DESPESA,Carlos Augusto Costa Bastos,,,,2023-06-27,58361,5
84589,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Correção,Validação,[Backend] ANEXO 01 - REGISTRO DE SALDO BANCÁRIO | Correções,Marco Antonio Silva Pegado,,,,2023-06-27,58361,0
