#,Sistema-Modulo,Projeto-Modulo,# Projeto Hierarquia,Projeto Hierarquia,Tipo,Situação,Título,Atribuído para,Catálogo_01 (Memora - 13/2020),HET (Real),qtd_servicos,Início,Tarefa pai,Qtd. de Anexos
76831,"SCG - Sistema de Contabilidade Geral (Web, Domínio)",*Ajustes e Aprimoramento dos Relatórios SCG - 2022,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Alteração SQL - SaldoPlanoContaDAOJpa.java,Carlos Augusto Costa Bastos,,,,2023-03-08,58361,2
76830,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,InventarioPatrimonialDAOJpa - FuncaoNomeOrgaoUtil,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,,2023-03-08,58361,0
76828,SPC - Sistema de Prestação de Contas,SCG-Integrações,65233,SCG-Integrações,Implementação,Fechada,Criar funcionalidade de inscrição em Lote de Créditos e Obrigações,Geison Leal Feitosa,,,,2023-03-08,75440,8
76809,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,ControleAcessoDAOJpa - FuncaoNomeOrgaoUtil,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,,2023-03-08,58361,1
76807,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,MovimentoContabilDAOJpa - FuncaoNomeOrgaoUtil,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,,2023-03-08,58361,0
76797,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,OrgaoArquivoLoteRepository - FuncaoNomeOrgaoUtil,Daniel Ricardo Dos Santos Pelusci,24-TestesFuncionaisAutomatizados,,,2023-03-08,58361,2
76786,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,ContaCorrenteDAOJpa - FuncaoNomeOrgaoUtil,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,,2023-03-07,58361,2
76775,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Adicionar SELECT - Anexo11_2023Repository,Daniel Ricardo Dos Santos Pelusci,21-Manutenções-AtributosFormulário/Relatório/Serviço,,,2023-03-07,58361,2
76756,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Tela Manter Conta Corrente - Seleção de Fonte e CO [tela-ajuste],Marco Antonio Silva Pegado,,,,2023-03-07,58361,3
76749,SCG - Sistema de Contabilidade Geral (Serviços),SCG - Sistema de Contabilidade Geral (Manutenções corretivas) ,58361,*Ajustes e Aprimoramento dos Relatórios SCG - 2022,Atividade,Fechada,Tela Manter Conta Corrente - Seleção de Fonte e CO [back-end alteração],Marco Antonio Silva Pegado,,,,2023-03-03,58361,0
